date,money,like,views,share
01-Jan-16,1000,435,6372,398
01-Feb-16,1500,400,8273,937
01-Mar-16,1200,365,9283,493
01-Apr-16,1600,288,8392,302
01-May-16,1800,326,2384,238
01-Jun-16,1300,389,3749,293
01-Jul-16,1100,425,3927,492
01-Aug-16,1300,187,3398,376
01-Sep-16,1800,501,4587,283
01-Oct-16,1200,287,2937,283
01-Nov-16,1500,412,8378,763
01-Dec-16,1800,509,4893,238
01-Jan-17,1000,435,6372,398
01-Feb-17,1500,400,8273,937
01-Mar-17,1200,365,9283,493
01-Apr-17,1600,288,8392,302
01-May-17,1800,326,2384,238
01-Jun-17,1300,389,3749,293
01-Jul-17,1100,425,3927,492
01-Aug-17,1300,187,3398,376
01-Sep-17,1800,501,4587,283
01-Oct-17,1200,287,2937,283
01-Nov-17,1500,412,8378,763
01-Dec-17,1800,509,4893,238
